species|ecology|status|trends|world distribution
Allium vineale|A bulbous perennial herb of dry, neutral or calcareous soils, generally occurring in summer-dry grasslands, hedgerows, roadsides and cultivated ground, and formerly a serious weed of cereal crops in S.E. England. Also found on coastal cliff ledges in W. Scotland. Generally lowland, but reaching 455 m in Wensleydale (N.W. Yorks.).|Native|There is little evidence of change in the range of this species since the 1962 Atlas. There are few available data to assess the relative abundance of the three varieties recognised in our area, although the exclusively floriferous var. capsuliferum appears to be rare.|European Temperate element; widely naturalised outside its native range.     © S. Hammonds
Alnus glutinosa|A deciduous tree of damp or wet, basic to moderately acidic soils, found beside rivers, streams, canals, lakes and ditches, and in flood plains, fens and bogs, carr and wooded dune-slacks. It can rapidly seed into open sites, producing even-aged stands of mature trees, but seedlings are very shade- and drought-sensitive, so regeneration in woodland is often poor. It is also widely planted. 0-470 m (Garrigill, Cumberland).|Native|The overall distribution of this species is stable. However, a recently evolved Phytophthora fungus has killed 10% of trees in S. England and Wales, and may have a wider impact in the future.|Eurosiberian Temperate element.     © S. Hammonds
Alnus incana|A deciduous tree, widely planted in parks, on roadsides, reclaimed tips and river banks, and sometimes in small plantations. It is very hardy and tolerant of poor, wet soils, making it useful in amenity planting in the north. It sometimes spreads to, and becomes naturalised on, waste ground and railway embankments. It reproduces by seed and suckering. Lowland.|Neophyte|Introduced to cultivation in Britain in 1780, A. incana was not recorded from the wild until 1922. It is planted with increasing frequency and is probably under-recorded.|A Circumpolar Boreal-montane species, absent as a native from much of W. Europe.     © Mahanova, Alla
Alopecurus aequalis|An annual, most frequent on drying mud but found in a wide variety of habitats associated with freshwater, including the margins of ponds, ditches, reservoirs, turloughs and flooded gravel-pits. It has also recently been found as a weed in aquatic garden centres. Lowland.|Native|A. aequalis has been lost from many suitable sites, but seems readily to colonise new open habitats. Population sizes are very variable, and it may not appear when water levels remain high, possibly leading to under-recording. It may sometimes be overlooked as, or mistaken for, A. geniculatus. It was not discovered in Ireland until 1992.|Circumpolar Boreo-temperate element.     © K.J. Walker, BSBI
Alopecurus borealis|A shortly rhizomatous perennial herb, found in oligotrophic springs and flushes, or on their borders, often associated with late snow-beds. It occurs on a wide range of acidic or slightly basic rocks. From 450 m on Widdybank Fell (Durham) to 1220 m on Braeriach (S. Aberdeen).|Native|This species has not only been recorded at new localities within its existing range since the 1962 Atlas, but has also been found in new areas of C. Scotland. It is an inconspicuous grass, especially as it is shy-flowering and any inflorescences produced are often grazed off.|Circumpolar Arctic-montane element; in Europe restricted to Britain, Svalbard, arctic Russia and the Urals.     © Pete Stroh
Alopecurus bulbosus|A perennial herb of periodically flooded brackish grassland in unimproved coastal grazing marshes, at the edges of ditches and in trampled ground at the base of sea walls; also locally in the uppermost parts of saltmarshes. Lowland.|Native|The 1962 Atlas suggested a marked decline of this species, but it was much under-recorded until the 1980s, and is now known to be still present (and sometimes abundant) at many sites from which it was thought to have been lost. Nevertheless, many populations have declined due to drainage and improvement of its habitat. Where salinity is reduced by sea-defence schemes it readily hybridises with A. geniculatus and eventually disappears, leaving the hybrid behind.|Suboceanic Southern-temperate element.     © L. Rooney
Alopecurus geniculatus|A perennial herb, rooting at the nodes, which is frequent in fertile sites which are flooded in winter such as muddy ditch-sides, wet arable fields, pond margins and grazing marshes. It readily colonises bare mud and disturbed areas, where it can become very lush, but avoids both the most acidic and the most alkaline sites. Generally lowland, but reaching 595 m on Highfield (S. Northumb.), and exceptionally at 845 m on Great Dun Fell (Westmorland).|Native|The range of A. geniculatus is probably stable, and has not significantly changed since the 1962 Atlas.|European Boreo-temperate element; widely naturalised outside its native range.     © S. Hammonds
Alopecurus myosuroides|An annual of rank and neglected grassland and arable land, rapidly increasing by seed to become a pest, particularly of cereal crops. It grows on both light and heavy soils. Lowland.|Archaeophyte|A. myosuroides has maintained, or slightly increased, its core distribution since the 1962 Atlas. It is still a frequent and troublesome weed of arable land. Some strains have evolved specific resistance to several commonly used herbicides, especially in E. Britain, and the species has benefited from the increased planting of winter cereal crops and the decline of stubble burning.|As an archaeophyte A. myosuroides has a European Southern-temperate distribution; it is widely naturalised outside this range.     © Mahanova, Alla
Alopecurus pratensis|A tufted perennial herb of a wide range of grasslands, particularly those with moist, fertile soils. It also occurs on roadsides and woodland margins. It avoids waterlogged habitats, and is absent from light and dry soils, including arable fields. Generally lowland, but reaching 610 m on Ettrick Pen (Dumfriess.), and exceptionally at 845 m on Great Dun Fell (Westmorland).|Native|A. pratensis was frequently sown in seed mixtures up to 1950. Many local strains still occur, particularly in pastures that have not been re-sown recently. Its distribution is stable.|Eurosiberian Boreo-temperate element, but widely naturalised so that distribution is now Circumpolar Boreo-temperate.     © S. Hammonds
Althaea hirsuta|An annual, or rarely biennial, herb naturalised on open, dry calcareous soils, particularly on S.-facing slopes, and in woodland. The long-lived seed requires disturbance for germination, and populations are subject to marked annual fluctuations in numbers. It also occurs as a casual on waste ground. Lowland.|Neophyte|This species was cultivated in Britain by 1683. There are a few long-lived populations; it has been known from Kent since 1792 and is sometimes considered native there and in Oxfordshire and Somerset. Another persistent population in Lincolnshire probably originated from pheasant food.|A European Southern-temperate species, occurring throughout the Mediterranean region and in Europe north to Slovakia.     © K.J. Walker, BSBI
